Date,White,Black,Winner,My Wins,WhiteElo,BlackElo,First Move,Win Ratio,My Rating
2024.12.17,Jokoo12,Srikar Bollam,White,Jokoo12,1558,1492,e4,Lost,1492
2024.12.19,Srikar Bollam,siamak_m1,White,Srikar Bollam,1501,1537,g3,Won,1501
2024.12.19,Srikar Bollam,beqe6,White,Srikar Bollam,1508,1436,g3,Won,1508
2024.12.20,scottphilipp,Srikar Bollam,White,scottphilipp,1576,1501,d4,Lost,1501
2024.12.20,Pawndrop1971,Srikar Bollam,White,Pawndrop1971,1501,1493,d4,Lost,1493
2024.12.21,rony0707,Srikar Bollam,Black,Srikar Bollam,1414,1499,e4,Won,1499
2024.12.21,Nicholas10422,Srikar Bollam,Black,Srikar Bollam,1468,1501,g3,Won,1501
2024.12.21,Tariq17860,Srikar Bollam,Black,Srikar Bollam,1470,1502,e4,Won,1502
2024.12.22,Srikar Bollam,davoka86,White,Srikar Bollam,1510,1504,g3,Won,1510
2024.12.23,Maddywith767,Srikar Bollam,White,Maddywith767,1563,1501,e4,Lost,1501
2024.12.23,Srikar Bollam,SeadHajdinovic1,Black,SeadHajdinovic1,1491,1426,g3,Lost,1491
2024.12.24,Srikar Bollam,Marcel_Duchamp1968,White,Srikar Bollam,1498,1429,g3,Won,1498
2024.12.25,Eckhart81,Srikar Bollam,Black,Srikar Bollam,1440,1495,g3,Won,1495
2024.12.26,Srikar Bollam,Economist777,White,Srikar Bollam,1503,1467,g3,Won,1503
2024.12.26,Srikar Bollam,Derrt56,White,Srikar Bollam,1510,1467,g3,Won,1510
2024.12.27,Srikar Bollam,Astrakhan4506,White,Srikar Bollam,1519,1526,g3,Won,1519
2024.12.27,hazzlehoff11,Srikar Bollam,Black,Srikar Bollam,1481,1518,e4,Won,1518
2024.12.27,Srikar Bollam,ndginpq,White,Srikar Bollam,1526,1489,g3,Won,1526
2024.12.27,FBorjon,Srikar Bollam,White,FBorjon,1544,1518,Nf,Lost,1518
2024.12.29,Srikar Bollam,Adam_polok,White,Srikar Bollam,1525,1469,g3,Won,1525
2024.12.30,CaptGo,Srikar Bollam,Black,Srikar Bollam,1518,1514,e4,Won,1514
